route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"541496","0","541496_volta_0_0","Guararema (Terminal Rodoviario de Guararema)",,"1",,"541496_volta"
"541496","0","541496_ida_0_0","Mogi das Cruzes (Terminal Rodoviario Geraldo Scavone)",,"0",,"541496_ida"
"541591","0","541591_circular_0_0","Sao Paulo (Jardim Castelo) Sao Paulo (Itaim Bibi) (Circular)",,"0",,"541591_circular"
"541652","0","541652_ida_0_0","Mogi das Cruzes (Terminal Rodoviario Geraldo Scavone)",,"0",,"541652_ida"
"541652","0","541652_volta_0_0","Guararema (Chacara Guanabara)",,"1",,"541652_volta"
"541796","0","541796_ida_0_0","Sao Paulo (Metro Armenia)",,"0",,"541796_ida"
"541796","0","541796_volta_0_0","Guarulhos (Terminal Urbano Guarulhos)",,"1",,"541796_volta"
"542356","0","542356_circular_0_0","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic) Sao Paulo (Metro Alto do Ipiranga) (Circular)",,"0",,"542356_circular"
"542397","0","542397_volta_0_0","Juquitiba (Barnabes)",,"1",,"542397_volta"
"542397","0","542397_ida_0_0","Itapecerica da Serra (Valo Velho)",,"0",,"542397_ida"
"542408","0","542408_ida_0_0","Sao Paulo (Metro Bras)",,"0",,"542408_ida"
"542408","0","542408_volta_0_0","Poa (Terminal Rodoviario Jardim Sao Jose)",,"1",,"542408_volta"
"542466","0","542466_ida_0_0","Sao Paulo (Terminal Rodoviario Tiete)",,"0",,"542466_ida"
"542466","0","542466_volta_0_0","Guararema (Centro)",,"1",,"542466_volta"
"543030","0","543030_ida_0_0","Santo Andre (Cata Preta)",,"0",,"543030_ida"
"543030","0","543030_volta_0_0","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic)",,"1",,"543030_volta"
"543121","0","543121_ida_0_0","Sao Paulo (Iv Centenario)",,"0",,"543121_ida"
"543121","0","543121_volta_0_0","Sao Caetano do Sul (Bairro Fundacao)",,"1",,"543121_volta"
"543214","0","543214_ida_0_0","Sao Paulo (Jardim Sao Roberto)",,"0",,"543214_ida"
"543214","0","543214_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre-Leste)",,"1",,"543214_volta"
"543268","0","543268_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"543268_ida"
"543268","0","543268_volta_0_0","Diadema (Jardim Sapopema)",,"1",,"543268_volta"
"543425","0","543425_ida_0_0","Itapecerica da Serra (Valo Velho)",,"0",,"543425_ida"
"543425","0","543425_volta_0_0","Juquitiba (Bairro dos Justinos)",,"1",,"543425_volta"
"544341","0","544341_ida_0_0","Santo Andre(Terminal Metropolitano Santo Andre Oeste)",,"0",,"544341_ida"
"544341","0","544341_volta_0_0","Sao Paulo (Terminal Metropolitano Sao Mateus)",,"1",,"544341_volta"
"544403","0","544403_ida_0_0","Sao Paulo (Metro Capao Redondo)",,"0",,"544403_ida"
"544403","0","544403_volta_0_0","Itapecerica da Serra (Parque Paraiso)",,"1",,"544403_volta"
"545147","0","545147_ida_0_0","Sao Paulo (Terminal Rodoviario Tiete)",,"0",,"545147_ida"
"545147","0","545147_volta_0_0","Sao Bernardo do Campo (Area Verde)",,"1",,"545147_volta"
"545183","0","545183_ida_0_0","Sao Paulo (Artur Alvim)",,"0",,"545183_ida"
"545183","0","545183_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre Leste)",,"1",,"545183_volta"
"545320","0","545320_volta_0_0","Diadema (Vila Sao Jose)",,"1",,"545320_volta"
"545320","0","545320_ida_0_0","Sao Paulo (Saude)",,"0",,"545320_ida"
"546022","0","546022_ida_0_0","Diadema (Terminal Metropolitano Diadema)",,"0",,"546022_ida"
